  0.05    5098    0.050980
  0.10    15179    0.151790
  0.15    25280    0.252800
  0.20    34849    0.348490
  0.25    45361    0.453610
  0.30    54617    0.546170
  0.35    65156    0.651560
  0.40    74423    0.744230
  0.45    85262    0.852620
  0.50    94835    0.948350
  0.55    95609    0.956090
  0.60    84674    0.846740
  0.65    74490    0.744900
  0.70    65389    0.653890
  0.75    54860    0.548600
  0.80    44436    0.444360
  0.85    34856    0.348560
  0.90    25337    0.253370
  0.95    15132    0.151320
  1.00    5157    0.051570
  
