  0.0050     137    0.013700
  0.0150     109    0.010900
  0.0250     108    0.010800
  0.0350      98    0.009800
  0.0450      94    0.009400
  0.0550     101    0.010100
  0.0650     109    0.010900
  0.0750      98    0.009800
  0.0850      93    0.009300
  0.0950      93    0.009300
  0.1050      80    0.008000
  0.1150     107    0.010700
  0.1250      96    0.009600
  0.1350      86    0.008600
  0.1450     104    0.010400
  0.1550      97    0.009700
  0.1650     103    0.010300
  0.1750     111    0.011100
  0.1850     109    0.010900
  0.1950     112    0.011200
  0.2050     110    0.011000
  0.2150     111    0.011100
  0.2250     113    0.011300
  0.2350      98    0.009800
  0.2450      95    0.009500
  0.2550     102    0.010200
  0.2650     100    0.010000
  0.2750      94    0.009400
  0.2850      89    0.008900
  0.2950      85    0.008500
  0.3050      90    0.009000
  0.3150     110    0.011000
  0.3250     102    0.010200
  0.3350      90    0.009000
  0.3450      83    0.008300
  0.3550     104    0.010400
  0.3650      92    0.009200
  0.3750     103    0.010300
  0.3850      91    0.009100
  0.3950      92    0.009200
  0.4050     110    0.011000
  0.4150     104    0.010400
  0.4250     104    0.010400
  0.4350      92    0.009200
  0.4450     119    0.011900
  0.4550     101    0.010100
  0.4650      75    0.007500
  0.4750     103    0.010300
  0.4850     104    0.010400
  0.4950      86    0.008600
  0.5050     103    0.010300
  0.5150     109    0.010900
  0.5250      99    0.009900
  0.5350     109    0.010900
  0.5450     101    0.010100
  0.5550     106    0.010600
  0.5650      98    0.009800
  0.5750      90    0.009000
  0.5850      94    0.009400
  0.5950      97    0.009700
  0.6050     101    0.010100
  0.6150      95    0.009500
  0.6250      87    0.008700
  0.6350      99    0.009900
  0.6450     104    0.010400
  0.6550     100    0.010000
  0.6650      84    0.008400
  0.6750      99    0.009900
  0.6850      76    0.007600
  0.6950     109    0.010900
  0.7050      98    0.009800
  0.7150      89    0.008900
  0.7250      93    0.009300
  0.7350     118    0.011800
  0.7450     100    0.010000
  0.7550     116    0.011600
  0.7650     117    0.011700
  0.7750      95    0.009500
  0.7850     117    0.011700
  0.7950      98    0.009800
  0.8050     112    0.011200
  0.8150      95    0.009500
  0.8250     108    0.010800
  0.8350      92    0.009200
  0.8450     101    0.010100
  0.8550      90    0.009000
  0.8650      93    0.009300
  0.8750      93    0.009300
  0.8850     104    0.010400
  0.8950      95    0.009500
  0.9050     101    0.010100
  0.9150      86    0.008600
  0.9250     101    0.010100
  0.9350     109    0.010900
  0.9450     100    0.010000
  0.9550     125    0.012500
  0.9650     108    0.010800
  0.9750      91    0.009100
  0.9850      97    0.009700
  0.9950     101    0.010100
